IncidentId,Factor_Type,Factor,Factor_Text
31562595,Environmental Factor,11,SLIPPERY SURFACE
31562651,Environmental Factor,11,SLIPPERY SURFACE
31562926,Environmental Factor,11,SLIPPERY SURFACE
31563975,Environmental Factor,11,SLIPPERY SURFACE
31564232,Environmental Factor,11,SLIPPERY SURFACE
31566008,Environmental Factor,11,SLIPPERY SURFACE
31566710,Environmental Factor,11,SLIPPERY SURFACE
31602702,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31624226,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31630358,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31639369,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31651339,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31741528,Environmental Factor,11,SLIPPERY SURFACE
31801762,Environmental Factor,05,GLARE (SUN)
31914178,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
32019171,Environmental Factor,11,SLIPPERY SURFACE
31438820,Human Factor,14,INATTENTION
31438896,Human Factor,14,INATTENTION
31439228,Human Factor,16,MEDICATION
31439229,Human Factor,26,FAILED TO KEEP PROPER LANE
31439711,Human Factor,18,NOT UNDER PROPER CONTROL
31439712,Human Factor,11,FOLLOWING TOO CLOSE
31439724,Human Factor,11,FOLLOWING TOO CLOSE
31439775,Human Factor,02,CELL PHONE
31440129,Human Factor,26,FAILED TO KEEP PROPER LANE
31440161,Human Factor,11,FOLLOWING TOO CLOSE
31440356,Human Factor,11,FOLLOWING TOO CLOSE
31440358,Human Factor,14,INATTENTION
31440960,Human Factor,18,NOT UNDER PROPER CONTROL
31440961,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31441035,Human Factor,04,DISTRACTION
31441337,Human Factor,17,MISJUDGE CLEARANCE
31441344,Human Factor,01,ALCOHOL INVOLVEMENT
31441353,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31441392,Human Factor,02,CELL PHONE
31441639,Human Factor,11,FOLLOWING TOO CLOSE
31441643,Human Factor,01,ALCOHOL INVOLVEMENT
31441668,Human Factor,14,INATTENTION
31441798,Human Factor,14,INATTENTION
31442017,Human Factor,12,IMPROPER BACKING
31442073,Human Factor,02,CELL PHONE
31442243,Human Factor,12,IMPROPER BACKING
31442244,Human Factor,01,ALCOHOL INVOLVEMENT
31442994,Human Factor,26,FAILED TO KEEP PROPER LANE
31442995,Human Factor,11,FOLLOWING TOO CLOSE
31443639,Human Factor,03,DISREGARD TRAFFIC CONTROL
31443642,Human Factor,26,FAILED TO KEEP PROPER LANE
31445191,Human Factor,11,FOLLOWING TOO CLOSE
31447389,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31447655,Human Factor,03,DISREGARD TRAFFIC CONTROL
31447813,Human Factor,18,NOT UNDER PROPER CONTROL
31447814,Human Factor,06,EMOTIONAL
31448358,Human Factor,12,IMPROPER BACKING
31448469,Human Factor,11,FOLLOWING TOO CLOSE
31448936,Human Factor,12,IMPROPER BACKING
31448991,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31449034,Human Factor,12,IMPROPER BACKING
31449035,Human Factor,17,MISJUDGE CLEARANCE
31449092,Human Factor,11,FOLLOWING TOO CLOSE
31449136,Human Factor,03,DISREGARD TRAFFIC CONTROL
31449138,Human Factor,06,EMOTIONAL
31449140,Human Factor,12,IMPROPER BACKING
31449141,Human Factor,04,DISTRACTION
31449143,Human Factor,26,FAILED TO KEEP PROPER LANE
31449706,Human Factor,14,INATTENTION
31450001,Human Factor,03,DISREGARD TRAFFIC CONTROL
31450039,Human Factor,17,MISJUDGE CLEARANCE
31451492,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31451561,Human Factor,12,IMPROPER BACKING
31451562,Human Factor,18,NOT UNDER PROPER CONTROL
31451563,Human Factor,11,FOLLOWING TOO CLOSE
31451565,Human Factor,12,IMPROPER BACKING
31451569,Human Factor,11,FOLLOWING TOO CLOSE
31451886,Human Factor,14,INATTENTION
31452113,Human Factor,02,CELL PHONE
31453084,Human Factor,13,IMPROPER PASSING
31453570,Human Factor,11,FOLLOWING TOO CLOSE
31453603,Human Factor,04,DISTRACTION
31453980,Human Factor,11,FOLLOWING TOO CLOSE
31454160,Human Factor,14,INATTENTION
31455093,Human Factor,03,DISREGARD TRAFFIC CONTROL
31455678,Human Factor,17,MISJUDGE CLEARANCE
31455858,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31456070,Human Factor,04,DISTRACTION
31456071,Human Factor,14,INATTENTION
31456073,Human Factor,10,FELL ASLEEP
31456074,Human Factor,11,FOLLOWING TOO CLOSE
31456076,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31456078,Human Factor,04,DISTRACTION
31456085,Human Factor,03,DISREGARD TRAFFIC CONTROL
31456086,Human Factor,11,FOLLOWING TOO CLOSE
31456087,Human Factor,18,NOT UNDER PROPER CONTROL
31456388,Human Factor,14,INATTENTION
31456391,Human Factor,26,FAILED TO KEEP PROPER LANE
31456392,Human Factor,14,INATTENTION
31456394,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31456395,Human Factor,12,IMPROPER BACKING
31456396,Human Factor,26,FAILED TO KEEP PROPER LANE
31456399,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31456400,Human Factor,12,IMPROPER BACKING
31456401,Human Factor,18,NOT UNDER PROPER CONTROL
31456403,Human Factor,11,FOLLOWING TOO CLOSE
31457554,Human Factor,12,IMPROPER BACKING
31457555,Human Factor,18,NOT UNDER PROPER CONTROL
31457570,Human Factor,04,DISTRACTION
31457571,Human Factor,12,IMPROPER BACKING
31458689,Human Factor,17,MISJUDGE CLEARANCE
31459548,Human Factor,03,DISREGARD TRAFFIC CONTROL
31459687,Human Factor,17,MISJUDGE CLEARANCE
31460297,Human Factor,14,INATTENTION
31460298,Human Factor,18,NOT UNDER PROPER CONTROL
31460299,Human Factor,19,OVERCORRECTING/OVERSTEERING
31460300,Human Factor,11,FOLLOWING TOO CLOSE
31460302,Human Factor,18,NOT UNDER PROPER CONTROL
31460895,Human Factor,11,FOLLOWING TOO CLOSE
31460899,Human Factor,17,MISJUDGE CLEARANCE
31460900,Human Factor,03,DISREGARD TRAFFIC CONTROL
31460901,Human Factor,12,IMPROPER BACKING
31460902,Human Factor,14,INATTENTION
31460904,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31460907,Human Factor,18,NOT UNDER PROPER CONTROL
31460908,Human Factor,12,IMPROPER BACKING
31460910,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31462170,Human Factor,14,INATTENTION
31462278,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31462488,Human Factor,18,NOT UNDER PROPER CONTROL
31462489,Human Factor,11,FOLLOWING TOO CLOSE
31462490,Human Factor,04,DISTRACTION
31462827,Human Factor,14,INATTENTION
31462830,Human Factor,17,MISJUDGE CLEARANCE
31462831,Human Factor,17,MISJUDGE CLEARANCE
31463224,Human Factor,17,MISJUDGE CLEARANCE
31463234,Human Factor,26,FAILED TO KEEP PROPER LANE
31463237,Human Factor,26,FAILED TO KEEP PROPER LANE
31463382,Human Factor,03,DISREGARD TRAFFIC CONTROL
31463504,Human Factor,14,INATTENTION
31463551,Human Factor,11,FOLLOWING TOO CLOSE
31463552,Human Factor,14,INATTENTION
31463716,Human Factor,17,MISJUDGE CLEARANCE
31463717,Human Factor,11,FOLLOWING TOO CLOSE
31463724,Human Factor,01,ALCOHOL INVOLVEMENT
31464047,Human Factor,26,FAILED TO KEEP PROPER LANE
31464238,Human Factor,11,FOLLOWING TOO CLOSE
31465094,Human Factor,04,DISTRACTION
31465417,Human Factor,14,INATTENTION
31465603,Human Factor,11,FOLLOWING TOO CLOSE
31465606,Human Factor,04,DISTRACTION
31466309,Human Factor,26,FAILED TO KEEP PROPER LANE
31466312,Human Factor,18,NOT UNDER PROPER CONTROL
31466656,Human Factor,13,IMPROPER PASSING
31466661,Human Factor,17,MISJUDGE CLEARANCE
31466846,Human Factor,17,MISJUDGE CLEARANCE
31466914,Human Factor,12,IMPROPER BACKING
31467088,Human Factor,01,ALCOHOL INVOLVEMENT
31467126,Human Factor,13,IMPROPER PASSING
31467157,Human Factor,14,INATTENTION
31467319,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31468013,Human Factor,11,FOLLOWING TOO CLOSE
31468149,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31468165,Human Factor,26,FAILED TO KEEP PROPER LANE
31468390,Human Factor,11,FOLLOWING TOO CLOSE
31468498,Human Factor,11,FOLLOWING TOO CLOSE
31468698,Human Factor,03,DISREGARD TRAFFIC CONTROL
31468699,Human Factor,17,MISJUDGE CLEARANCE
31468818,Human Factor,14,INATTENTION
31469623,Human Factor,19,OVERCORRECTING/OVERSTEERING
31469651,Human Factor,04,DISTRACTION
31469656,Human Factor,09,FATIGUE
31469730,Human Factor,02,CELL PHONE
31469871,Human Factor,02,CELL PHONE
31470066,Human Factor,01,ALCOHOL INVOLVEMENT
31470085,Human Factor,12,IMPROPER BACKING
31470648,Human Factor,01,ALCOHOL INVOLVEMENT
31470787,Human Factor,01,ALCOHOL INVOLVEMENT
31470952,Human Factor,01,ALCOHOL INVOLVEMENT
31471260,Human Factor,11,FOLLOWING TOO CLOSE
31471429,Human Factor,18,NOT UNDER PROPER CONTROL
31471459,Human Factor,14,INATTENTION
31471464,Human Factor,26,FAILED TO KEEP PROPER LANE
31472007,Human Factor,14,INATTENTION
31472130,Human Factor,14,INATTENTION
31472336,Human Factor,14,INATTENTION
31472559,Human Factor,19,OVERCORRECTING/OVERSTEERING
31472691,Human Factor,01,ALCOHOL INVOLVEMENT
31473072,Human Factor,14,INATTENTION
31473074,Human Factor,14,INATTENTION
31473161,Human Factor,14,INATTENTION
31474194,Human Factor,05,DRUG INVOLVEMENT
31474208,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31474293,Human Factor,17,MISJUDGE CLEARANCE
31474648,Human Factor,12,IMPROPER BACKING
31474945,Human Factor,11,FOLLOWING TOO CLOSE
31475044,Human Factor,07,EXCEEDED STATED SPEED LIMIT
31475081,Human Factor,23,TURNING IMPROPERLY
31475084,Human Factor,11,FOLLOWING TOO CLOSE
31475086,Human Factor,14,INATTENTION
31475089,Human Factor,12,IMPROPER BACKING
31475095,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31475102,Human Factor,14,INATTENTION
31475104,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31475106,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31475107,Human Factor,11,FOLLOWING TOO CLOSE
31475108,Human Factor,26,FAILED TO KEEP PROPER LANE
31475109,Human Factor,18,NOT UNDER PROPER CONTROL
31476100,Human Factor,14,INATTENTION
31476607,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31476610,Human Factor,12,IMPROPER BACKING
31476613,Human Factor,13,IMPROPER PASSING
31476715,Human Factor,26,FAILED TO KEEP PROPER LANE
31476719,Human Factor,14,INATTENTION
31476723,Human Factor,11,FOLLOWING TOO CLOSE
31476785,Human Factor,17,MISJUDGE CLEARANCE
31476942,Human Factor,17,MISJUDGE CLEARANCE
31476980,Human Factor,03,DISREGARD TRAFFIC CONTROL
31478426,Human Factor,17,MISJUDGE CLEARANCE
31478427,Human Factor,17,MISJUDGE CLEARANCE
31478428,Human Factor,26,FAILED TO KEEP PROPER LANE
31478430,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31478437,Human Factor,26,FAILED TO KEEP PROPER LANE
31478438,Human Factor,26,FAILED TO KEEP PROPER LANE
31478805,Human Factor,01,ALCOHOL INVOLVEMENT
31478810,Human Factor,14,INATTENTION
31478844,Human Factor,18,NOT UNDER PROPER CONTROL
31478847,Human Factor,01,ALCOHOL INVOLVEMENT
31479343,Human Factor,02,CELL PHONE
31479345,Human Factor,05,DRUG INVOLVEMENT
31480837,Human Factor,18,NOT UNDER PROPER CONTROL
31480861,Human Factor,11,FOLLOWING TOO CLOSE
31480862,Human Factor,14,INATTENTION
31480863,Human Factor,11,FOLLOWING TOO CLOSE
31480874,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31481085,Human Factor,26,FAILED TO KEEP PROPER LANE
31482042,Human Factor,11,FOLLOWING TOO CLOSE
31482053,Human Factor,11,FOLLOWING TOO CLOSE
31482056,Human Factor,26,FAILED TO KEEP PROPER LANE
31482069,Human Factor,11,FOLLOWING TOO CLOSE
31482318,Human Factor,12,IMPROPER BACKING
31482319,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31482320,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31482345,Human Factor,17,MISJUDGE CLEARANCE
31482485,Human Factor,12,IMPROPER BACKING
31482488,Human Factor,01,ALCOHOL INVOLVEMENT
31482952,Human Factor,11,FOLLOWING TOO CLOSE
31482972,Human Factor,12,IMPROPER BACKING
31483154,Human Factor,17,MISJUDGE CLEARANCE
31483448,Human Factor,17,MISJUDGE CLEARANCE
31483778,Human Factor,26,FAILED TO KEEP PROPER LANE
31484145,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31484985,Human Factor,14,INATTENTION
31484987,Human Factor,18,NOT UNDER PROPER CONTROL
31484989,Human Factor,11,FOLLOWING TOO CLOSE
31484991,Human Factor,18,NOT UNDER PROPER CONTROL
31484997,Human Factor,17,MISJUDGE CLEARANCE
31484998,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31485762,Human Factor,17,MISJUDGE CLEARANCE
31485790,Human Factor,11,FOLLOWING TOO CLOSE
31485984,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31485987,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31486572,Human Factor,11,FOLLOWING TOO CLOSE
31487354,Human Factor,18,NOT UNDER PROPER CONTROL
31487357,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31487360,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31487380,Human Factor,14,INATTENTION
31487386,Human Factor,14,INATTENTION
31487460,Human Factor,11,FOLLOWING TOO CLOSE
31487810,Human Factor,11,FOLLOWING TOO CLOSE
31487811,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31487813,Human Factor,17,MISJUDGE CLEARANCE
31487892,Human Factor,04,DISTRACTION
31487956,Human Factor,14,INATTENTION
31487960,Human Factor,04,DISTRACTION
31488007,Human Factor,03,DISREGARD TRAFFIC CONTROL
31488270,Human Factor,26,FAILED TO KEEP PROPER LANE
31488418,Human Factor,22,TOO FAST FOR CONDITIONS
31488537,Human Factor,11,FOLLOWING TOO CLOSE
31488538,Human Factor,18,NOT UNDER PROPER CONTROL
31488539,Human Factor,11,FOLLOWING TOO CLOSE
31488603,Human Factor,12,IMPROPER BACKING
31488610,Human Factor,17,MISJUDGE CLEARANCE
31488932,Human Factor,14,INATTENTION
31488992,Human Factor,17,MISJUDGE CLEARANCE
31488994,Human Factor,17,MISJUDGE CLEARANCE
31490440,Human Factor,11,FOLLOWING TOO CLOSE
31490800,Human Factor,18,NOT UNDER PROPER CONTROL
31490830,Human Factor,14,INATTENTION
31490835,Human Factor,14,INATTENTION
31491007,Human Factor,01,ALCOHOL INVOLVEMENT
31491619,Human Factor,14,INATTENTION
31492231,Human Factor,14,INATTENTION
31492234,Human Factor,11,FOLLOWING TOO CLOSE
31492242,Human Factor,11,FOLLOWING TOO CLOSE
31492246,Human Factor,18,NOT UNDER PROPER CONTROL
31492250,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31492252,Human Factor,14,INATTENTION
31492253,Human Factor,17,MISJUDGE CLEARANCE
31492254,Human Factor,14,INATTENTION
31492257,Human Factor,11,FOLLOWING TOO CLOSE
31492258,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31492259,Human Factor,17,MISJUDGE CLEARANCE
31492260,Human Factor,17,MISJUDGE CLEARANCE
31492262,Human Factor,18,NOT UNDER PROPER CONTROL
31492270,Human Factor,11,FOLLOWING TOO CLOSE
31492272,Human Factor,11,FOLLOWING TOO CLOSE
31492282,Human Factor,20,PHYSICAL DISABILITY
31492283,Human Factor,18,NOT UNDER PROPER CONTROL
31492285,Human Factor,11,FOLLOWING TOO CLOSE
31492301,Human Factor,14,INATTENTION
31493232,Human Factor,13,IMPROPER PASSING
31493233,Human Factor,11,FOLLOWING TOO CLOSE
31493433,Human Factor,17,MISJUDGE CLEARANCE
31493435,Human Factor,17,MISJUDGE CLEARANCE
31493445,Human Factor,11,FOLLOWING TOO CLOSE
31493554,Human Factor,14,INATTENTION
31493555,Human Factor,01,ALCOHOL INVOLVEMENT
31493613,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31493846,Human Factor,14,INATTENTION
31493908,Human Factor,11,FOLLOWING TOO CLOSE
31493911,Human Factor,12,IMPROPER BACKING
31494194,Human Factor,13,IMPROPER PASSING
31494197,Human Factor,18,NOT UNDER PROPER CONTROL
31494225,Human Factor,11,FOLLOWING TOO CLOSE
31494766,Human Factor,01,ALCOHOL INVOLVEMENT
31494925,Human Factor,05,DRUG INVOLVEMENT
31495107,Human Factor,01,ALCOHOL INVOLVEMENT
31495126,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31495173,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31495305,Human Factor,19,OVERCORRECTING/OVERSTEERING
31496582,Human Factor,17,MISJUDGE CLEARANCE
31496640,Human Factor,03,DISREGARD TRAFFIC CONTROL
31496649,Human Factor,17,MISJUDGE CLEARANCE
31496653,Human Factor,26,FAILED TO KEEP PROPER LANE
31496655,Human Factor,18,NOT UNDER PROPER CONTROL
31496656,Human Factor,26,FAILED TO KEEP PROPER LANE
31496790,Human Factor,11,FOLLOWING TOO CLOSE
31497497,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31497524,Human Factor,11,FOLLOWING TOO CLOSE
31497536,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31497544,Human Factor,11,FOLLOWING TOO CLOSE
31497590,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31498201,Human Factor,01,ALCOHOL INVOLVEMENT
31498203,Human Factor,11,FOLLOWING TOO CLOSE
31498225,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31498439,Human Factor,17,MISJUDGE CLEARANCE
31498440,Human Factor,18,NOT UNDER PROPER CONTROL
31498657,Human Factor,12,IMPROPER BACKING
31498755,Human Factor,04,DISTRACTION
31499057,Human Factor,05,DRUG INVOLVEMENT
31499187,Human Factor,12,IMPROPER BACKING
31499429,Human Factor,02,CELL PHONE
31499491,Human Factor,26,FAILED TO KEEP PROPER LANE
31499492,Human Factor,01,ALCOHOL INVOLVEMENT
31499503,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31499799,Human Factor,02,CELL PHONE
31500136,Human Factor,14,INATTENTION
31500185,Human Factor,26,FAILED TO KEEP PROPER LANE
31500206,Human Factor,17,MISJUDGE CLEARANCE
31500208,Human Factor,17,MISJUDGE CLEARANCE
31500219,Human Factor,11,FOLLOWING TOO CLOSE
31500245,Human Factor,11,FOLLOWING TOO CLOSE
31500261,Human Factor,17,MISJUDGE CLEARANCE
31500263,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31500264,Human Factor,17,MISJUDGE CLEARANCE
31500265,Human Factor,03,DISREGARD TRAFFIC CONTROL
31500282,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31500283,Human Factor,11,FOLLOWING TOO CLOSE
31500285,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31500406,Human Factor,13,IMPROPER PASSING
31500570,Human Factor,17,MISJUDGE CLEARANCE
31500573,Human Factor,04,DISTRACTION
31500591,Human Factor,04,DISTRACTION
31500839,Human Factor,14,INATTENTION
31500855,Human Factor,03,DISREGARD TRAFFIC CONTROL
31500869,Human Factor,11,FOLLOWING TOO CLOSE
31500943,Human Factor,18,NOT UNDER PROPER CONTROL
31501071,Human Factor,14,INATTENTION
31501095,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31501177,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31501312,Human Factor,14,INATTENTION
31501315,Human Factor,17,MISJUDGE CLEARANCE
31501336,Human Factor,03,DISREGARD TRAFFIC CONTROL
31501341,Human Factor,14,INATTENTION
31501374,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31501375,Human Factor,11,FOLLOWING TOO CLOSE
31501388,Human Factor,18,NOT UNDER PROPER CONTROL
31501852,Human Factor,13,IMPROPER PASSING
31501885,Human Factor,12,IMPROPER BACKING
31502004,Human Factor,18,NOT UNDER PROPER CONTROL
31502006,Human Factor,13,IMPROPER PASSING
31502330,Human Factor,17,MISJUDGE CLEARANCE
31502360,Human Factor,03,DISREGARD TRAFFIC CONTROL
31502361,Human Factor,26,FAILED TO KEEP PROPER LANE
31502613,Human Factor,04,DISTRACTION
31502614,Human Factor,04,DISTRACTION
31502643,Human Factor,17,MISJUDGE CLEARANCE
31502679,Human Factor,17,MISJUDGE CLEARANCE
31502680,Human Factor,17,MISJUDGE CLEARANCE
31502681,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31503442,Human Factor,12,IMPROPER BACKING
31503754,Human Factor,07,EXCEEDED STATED SPEED LIMIT
31503985,Human Factor,15,LOST CONSCIOUSNESS/FAINTED
31503987,Human Factor,17,MISJUDGE CLEARANCE
31504011,Human Factor,12,IMPROPER BACKING
31504108,Human Factor,14,INATTENTION
31504109,Human Factor,04,DISTRACTION
31504941,Human Factor,10,FELL ASLEEP
31505113,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31505566,Human Factor,14,INATTENTION
31505571,Human Factor,18,NOT UNDER PROPER CONTROL
31505573,Human Factor,11,FOLLOWING TOO CLOSE
31505575,Human Factor,18,NOT UNDER PROPER CONTROL
31505578,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31505580,Human Factor,11,FOLLOWING TOO CLOSE
31505584,Human Factor,18,NOT UNDER PROPER CONTROL
31505586,Human Factor,17,MISJUDGE CLEARANCE
